方名,规范名,主治,大类类型,证型,功用,功用大类,功用小类,处方（处理）
正柴胡饮,正柴胡饮,外感风寒轻证。微恶风寒，发热，无汗，头痛身痛，舌苔薄白，脉浮。（本方常用于感冒、流行性感冒、疟疾初起以及妇女经期、妊娠、产后感冒等属外感风寒而气血不虚者。）,经行感冒,风寒证,解表散寒。,解表方,辛温解表,"柴胡（9克）,防风（3克）,陈皮（4.5克）,芍药（6克）,甘草（3克）,生姜（三五片）"
逍遥散,逍遥散,肝郁血虚，而致两胁作痛，寒热往来，头痛目眩，口燥咽干，神疲食少，月经不调，乳房作胀，脉弦而虚者。,经行情志异常,肝气郁结证,疏肝解郁，健脾和营。,和解方,调和肝脾,"柴胡（15克）,当归（15克）,白芍（15克）,白术（15克）,茯苓（15克）,生姜（15克）,薄荷（6克）,炙甘草（6克）"
清肝引经汤,清肝引经汤,经行吐衄,经行吐衄,肝经郁火证,清泻肝热,和解方,调和肝脾,"当归,白芍,地黄,牡丹皮,黄芩片,栀子,川楝子,川牛膝,茜草,白茅根,甘草"
丹栀逍遥散,丹栀逍遥散,肝脾血虚发热，或潮热晡热，或自汗盗汗，或头痛目涩，或怔忡不宁，或颊赤口干，或月经不调，或肚腹作痛，或小腹重坠，水道涩痛，或肿痛出脓，内热作渴,月经先期,肝郁血热证,养血健脾，疏肝清热,和解方,调和肝脾,"当归,白芍,茯苓,白术,柴胡,牡丹皮,栀子,甘草"
清热调血汤,清热调血汤,妇人经水将来，腹痛，乍作乍止，气血俱实,痛经,湿热瘀阻证,清热除湿，化瘀止痛,清热方,清营凉血,"当归,川芎,白芍,地黄,黄连片,香附,桃仁,红花,延胡索,牡丹皮,莪术"
清经散,清经散,肾中水亏火旺，经行先期量多者,月经先期,阳盛血热症,清热，凉血，止血,清热方,清脏腑热,"牡丹皮,地骨皮,酒白芍,熟地黄,青蒿,黄柏,茯苓"
保阴煎,保阴煎,阴虚血热之带下淋浊，血崩便血，月经提前,月经先期,血热证,养阴清热，凉血止血,清热方,清虚热,"地黄,熟地黄,黄芩片,黄柏,白芍,续断,甘草,山药"
理中丸,理中丸,1．脾胃虚寒证。脘腹绵绵作痛，喜温喜按，呕吐，大便稀溏，脘痞食少，畏寒肢冷，口不渴，舌淡苔白润，脉沉细或沉迟无力。2．阳虚失血证。便血、吐血、衄血或崩漏等，血色暗淡，质清稀。3．脾胃虚寒所致的胸痹；或病后多涎唾；或小儿慢惊等。（本方常用于急慢性胃肠炎、胃及十二指肠溃疡、胃痉挛、胃下垂、胃扩张、慢性结肠炎等属脾胃虚寒者。）,崩漏、行经吐衄,肾阳虚证,温中祛寒，补气健脾。,温里方,温中祛寒,"人参（15克）,干姜（15克）,白术（15克）,甘草（15克）,{原方丸剂各用90克}"
理中汤,理中汤,脾胃虚寒证，自利不渴，呕吐腹痛，腹满不食及中寒霍乱，阳虚失血，如吐血，便血或崩漏，胸痞虚证，胸痛彻背倦怠少气，四肢不温，现用于急，慢性胃炎，胃窦炎，溃疡病，胃下垂，慢性肝炎等属脾胃虚寒者,崩漏、行经吐衄,阳虚失血证,温中祛寒，补气健脾,温里方,温中祛寒,"人参,干姜,炙甘草,白术"
当归四逆汤,当归四逆汤,血虚寒厥证。手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝。（本方常用于血栓闭塞性脉管炎、无脉症、雷诺病、小儿麻痹、冻疮、妇女痛经、肩周炎、风湿性关节炎等属血虚寒凝者。）,痛经,血虚寒凝证,温经散寒，养血通脉。,温里方,温经散寒,"当归（12克）,桂枝（9克）,芍药（9克）,细辛（3克）,通草（6克）,大枣（8枚,擘[bo]）,炙甘草（6克）"
补中益气汤,补中益气汤,１．脾虚气陷证。饮食减少，体倦肢软，少气懒言，面色萎黄，大便稀溏，舌淡脉虚；以及脱肛，子宫脱垂，久泻久痢，崩漏等。２．气虚发热证。身热自汗，渴喜热饮，气短乏力，舌淡，脉虚大无力。（本方常用于内脏下垂、久泻、久痢、脱肛、重症肌无力、乳糜尿、慢性肝炎等；妇科之子宫脱垂、妊娠及产后癃闭、胎动不安、月经过多；眼科之眼睑下垂、麻痹性斜视等属脾胃气虚或中气下陷者。）,月经先期、崩漏,脾虚气陷证,补中益气，升阳举陷。,补益方,补气,"黄芪（18克）,炙甘草（9克）,人参（6克）,当归（3克）,橘皮（6克）,升麻（6克）,柴胡（6克）,白术（9克）"
安冲汤,安冲汤,妇人月经过多，过期不止，或不时漏下,月经过多,血气虚弱证,补气养血，固冲止血,补益方,补气,"黄芪,龙骨,牡蛎,地黄,白芍,海螵蛸,茜草,续断"
四物汤,四物汤,冲任虚损。月水不调，脐腹疼痛，崩中漏下。血瘕块硬，时发疼痛。妊娠胎动不安，血下不止，及产后恶露不下，结生瘕聚，少腹坚痛，时作寒热。,月经不调,血虚证,补血调血。,补益方,补血,"当归（10克）,川芎（8克）,白芍（12克）,熟地（12克）"
当归补血汤,当归补血汤,血虚阳浮发热证。肌热面赤，烦渴欲饮，脉洪大而虚，重按无力。亦治妇人经期、产后血虚发热头痛；或疮疡溃后，久不愈合者。（本方可用于妇人经期、产后发热等属血虚阳浮者，以及各种贫血、过敏性紫癜等属血虚气弱者。）,经行发热,虚热证,补气生血。,补益方,补血,"黄芪（30克）,当归（6克）"
归脾汤,归脾汤,１．心脾气血两虚证。心悸怔忡，健忘失眠，盗汗，体倦食少，面色萎黄，舌淡，苔薄白，脉细弱。２．脾不统血证。便血，皮下紫癜，妇女崩漏，月经超前，量多色淡，或淋漓不止，舌淡，脉细弱。（本方常用于胃及十二指肠溃疡出血、功能性子宫出血、再生障碍性贫血、血小板减少性紫癜、神经衰弱、心脏病等属心脾气血两虚及脾不统血者。）,崩漏、月经先期,脾不统血证,益气补血，健脾养心。,补益方,补血,"白术（3克）,当归（3克）,白茯苓（3克）,黄芪炒（3克）,远志（3克）,龙眼肉（3克）,酸枣仁炒,（3克）,人参（6克）,木香（1.5克）,炙甘草（1克）"
圣愈汤,圣愈汤,气血虚弱，气不摄血证。月经先期而至，量多色淡，四肢乏力，体倦神衰。,月经先期,气血两虚证,补气，补血，摄血。,补益方,补血,"熟地（20克）,白芍（15克）,川芎（8克）,人参（一般用潞党参20克）,当归（15克）,黄芪（18克）"
桃红四物汤（原名‘加味四物汤”）,桃红四物汤,血虚兼血瘀证。妇女经期超前，血多有块，色紫稠粘，腹痛等。,月经前期,血瘀证,养血活血。,补益方,补血,即四物汤加桃仁（9克）红花（6克）
